国家名称,指标名称,年份,数值
斯威士兰,金融部门提供的国内信贷（占GDP的百分比）,1987,15.37038594
斯威士兰,人均电力消费量 (千瓦时),1987,
斯威士兰,能源使用量（每人当量千克石油）,1987,
斯威士兰,商品和服务出口（占GDP的百分比）,1987,81.84646431
斯威士兰,总生育率，每位女性的出生数,1987,6.18
斯威士兰,GDP增长率（年百分比）,1987,14.606589680999999
斯威士兰,商品和服务进口（占GDP的百分比）,1987,82.10712184
斯威士兰,工业，增加值（占GDP的百分比）,1987,37.12358232
斯威士兰,通货膨胀率，GDP平减指数（年百分比）,1987,1.1131174460100002
斯威士兰,出生时预期寿命，总年数,1987,58.39787805
斯威士兰,人口密度 (每平方公里土地面积的人数),1987,44.61726744
斯威士兰,服务业等增加值（占GDP的百分比）,1987,46.39225655
瑞典,农业增加值（占GDP的百分比）,1987,4.118085679
瑞典,人均二氧化碳排放量 (公吨),1987,7.111037004439999
瑞典,金融部门提供的国内信贷（占GDP的百分比）,1987,58.15503291
瑞典,人均电力消费量 (千瓦时),1987,15746.259379199999
瑞典,能源使用量（每人当量千克石油）,1987,5763.070441
瑞典,商品和服务出口（占GDP的百分比）,1987,30.97319526
瑞典,总生育率，每位女性的出生数,1987,1.84
瑞典,GDP增长率（年百分比）,1987,3.353842968
瑞典,商品和服务进口（占GDP的百分比）,1987,28.80627374
瑞典,工业，增加值（占GDP的百分比）,1987,33.223729102600004
瑞典,通货膨胀率，GDP平减指数（年百分比）,1987,4.7209492077099995
瑞典,出生时预期寿命，总年数,1987,77.09219512199999
瑞典,人口密度 (每平方公里土地面积的人数),1987,20.465477409000002
瑞典,服务业等增加值（占GDP的百分比）,1987,62.65818522
瑞士,农业增加值（占GDP的百分比）,1987,
瑞士,人均二氧化碳排放量 (公吨),1987,6.150039281259999
瑞士,金融部门提供的国内信贷（占GDP的百分比）,1987,145.5807414
瑞士,人均电力消费量 (千瓦时),1987,7163.214775
瑞士,能源使用量（每人当量千克石油）,1987,3430.855513
瑞士,商品和服务出口（占GDP的百分比）,1987,40.83218283
瑞士,总生育率，每位女性的出生数,1987,1.52
瑞士,GDP增长率（年百分比）,1987,1.585478169
瑞士,商品和服务进口（占GDP的百分比）,1987,39.78111223
瑞士,工业，增加值（占GDP的百分比）,1987,
瑞士,通货膨胀率，GDP平减指数（年百分比）,1987,2.1934824219999998
瑞士,出生时预期寿命，总年数,1987,77.19756098
瑞士,人口密度 (每平方公里土地面积的人数),1987,165.57732297799998
瑞士,服务业等增加值（占GDP的百分比）,1987,
阿拉伯叙利亚共和国,农业增加值（占GDP的百分比）,1987,26.58875782
阿拉伯叙利亚共和国,人均二氧化碳排放量 (公吨),1987,3.184792891
阿拉伯叙利亚共和国,金融部门提供的国内信贷（占GDP的百分比）,1987,83.53357214
阿拉伯叙利亚共和国,人均电力消费量 (千瓦时),1987,589.81402
阿拉伯叙利亚共和国,能源使用量（每人当量千克石油）,1987,786.4364226380001
阿拉伯叙利亚共和国,商品和服务出口（占GDP的百分比）,1987,16.00718278
阿拉伯叙利亚共和国,总生育率，每位女性的出生数,1987,5.962999999999999
阿拉伯叙利亚共和国,GDP增长率（年百分比）,1987,1.90754651
阿拉伯叙利亚共和国,商品和服务进口（占GDP的百分比）,1987,29.50305857
阿拉伯叙利亚共和国,工业，增加值（占GDP的百分比）,1987,20.65250912
阿拉伯叙利亚共和国,通货膨胀率，GDP平减指数（年百分比）,1987,25.40542345
阿拉伯叙利亚共和国,出生时预期寿命，总年数,1987,69.11531707
阿拉伯叙利亚共和国,人口密度 (每平方公里土地面积的人数),1987,61.89341604
阿拉伯叙利亚共和国,服务业等增加值（占GDP的百分比）,1987,52.75873306
塔吉克斯坦,农业增加值（占GDP的百分比）,1987,30.80645161
塔吉克斯坦,人均二氧化碳排放量 (公吨),1987,
塔吉克斯坦,金融部门提供的国内信贷（占GDP的百分比）,1987,
塔吉克斯坦,人均电力消费量 (千瓦时),1987,
塔吉克斯坦,能源使用量（每人当量千克石油）,1987,
塔吉克斯坦,商品和服务出口（占GDP的百分比）,1987,
塔吉克斯坦,总生育率，每位女性的出生数,1987,5.4079999999999995
塔吉克斯坦,GDP增长率（年百分比）,1987,-1.200000045
塔吉克斯坦,商品和服务进口（占GDP的百分比）,1987,
塔吉克斯坦,工业，增加值（占GDP的百分比）,1987,42.74193548
塔吉克斯坦,通货膨胀率，GDP平减指数（年百分比）,1987,5.822995726
塔吉克斯坦,出生时预期寿命，总年数,1987,63.37341463
塔吉克斯坦,人口密度 (每平方公里土地面积的人数),1987,34.64742069
塔吉克斯坦,服务业等增加值（占GDP的百分比）,1987,26.4516129
坦桑尼亚,农业增加值（占GDP的百分比）,1987,
坦桑尼亚,人均二氧化碳排放量 (公吨),1987,0.103036754
坦桑尼亚,金融部门提供的国内信贷（占GDP的百分比）,1987,
坦桑尼亚,人均电力消费量 (千瓦时),1987,40.76850617
坦桑尼亚,能源使用量（每人当量千克石油）,1987,394.1451771
坦桑尼亚,商品和服务出口（占GDP的百分比）,1987,
坦桑尼亚,总生育率，每位女性的出生数,1987,6.379
坦桑尼亚,GDP增长率（年百分比）,1987,
坦桑尼亚,商品和服务进口（占GDP的百分比）,1987,
坦桑尼亚,工业，增加值（占GDP的百分比）,1987,
坦桑尼亚,通货膨胀率，GDP平减指数（年百分比）,1987,
坦桑尼亚,出生时预期寿命，总年数,1987,50.78834146
坦桑尼亚,人口密度 (每平方公里土地面积的人数),1987,26.19573944
坦桑尼亚,服务业等增加值（占GDP的百分比）,1987,
泰国,农业增加值（占GDP的百分比）,1987,15.73343752
泰国,人均二氧化碳排放量 (公吨),1987,1.054934555
泰国,金融部门提供的国内信贷（占GDP的百分比）,1987,86.22646401
泰国,人均电力消费量 (千瓦时),1987,483.2389805
泰国,能源使用量（每人当量千克石油）,1987,531.7626952
泰国,商品和服务出口（占GDP的百分比）,1987,28.89401099
泰国,总生育率，每位女性的出生数,1987,2.346
泰国,GDP增长率（年百分比）,1987,9.518946022
泰国,商品和服务进口（占GDP的百分比）,1987,28.3339735
泰国,工业，增加值（占GDP的百分比）,1987,33.34315515
泰国,通货膨胀率，GDP平减指数（年百分比）,1987,4.723213513
泰国,出生时预期寿命，总年数,1987,69.24990244
泰国,人口密度 (每平方公里土地面积的人数),1987,105.6577796
泰国,服务业等增加值（占GDP的百分比）,1987,50.9234086
东帝汶,农业增加值（占GDP的百分比）,1987,
东帝汶,人均二氧化碳排放量 (公吨),1987,
东帝汶,金融部门提供的国内信贷（占GDP的百分比）,1987,
东帝汶,人均电力消费量 (千瓦时),1987,
东帝汶,能源使用量（每人当量千克石油）,1987,
东帝汶,商品和服务出口（占GDP的百分比）,1987,
东帝汶,总生育率，每位女性的出生数,1987,5.271
东帝汶,GDP增长率（年百分比）,1987,
东帝汶,商品和服务进口（占GDP的百分比）,1987,
东帝汶,工业，增加值（占GDP的百分比）,1987,
东帝汶,通货膨胀率，GDP平减指数（年百分比）,1987,
东帝汶,出生时预期寿命，总年数,1987,45.83912195
东帝汶,人口密度 (每平方公里土地面积的人数),1987,46.3463349
东帝汶,服务业等增加值（占GDP的百分比）,1987,
多哥,农业增加值（占GDP的百分比）,1987,33.48428232
多哥,人均二氧化碳排放量 (公吨),1987,0.220709013
多哥,金融部门提供的国内信贷（占GDP的百分比）,1987,27.12954142
多哥,人均电力消费量 (千瓦时),1987,80.92248173
多哥,能源使用量（每人当量千克石油）,1987,328.0623328
多哥,商品和服务出口（占GDP的百分比）,1987,41.36920658
多哥,总生育率，每位女性的出生数,1987,6.672000000000001
多哥,GDP增长率（年百分比）,1987,0.5101621801389999
多哥,商品和服务进口（占GDP的百分比）,1987,50.74586914
多哥,工业，增加值（占GDP的百分比）,1987,19.978692509600002
多哥,通货膨胀率，GDP平减指数（年百分比）,1987,1.65884168
多哥,出生时预期寿命，总年数,1987,55.29639024390001
多哥,人口密度 (每平方公里土地面积的人数),1987,63.84370289
多哥,服务业等增加值（占GDP的百分比）,1987,46.537022987200004
汤加,农业增加值（占GDP的百分比）,1987,38.86537522
汤加,人均二氧化碳排放量 (公吨),1987,0.582686257
汤加,金融部门提供的国内信贷（占GDP的百分比）,1987,
汤加,人均电力消费量 (千瓦时),1987,
汤加,能源使用量（每人当量千克石油）,1987,
汤加,商品和服务出口（占GDP的百分比）,1987,30.92672137
汤加,总生育率，每位女性的出生数,1987,4.864
汤加,GDP增长率（年百分比）,1987,2.985637788
汤加,商品和服务进口（占GDP的百分比）,1987,64.60557113
汤加,工业，增加值（占GDP的百分比）,1987,12.851009278900001
汤加,通货膨胀率，GDP平减指数（年百分比）,1987,11.01204465
汤加,出生时预期寿命，总年数,1987,69.15192682930001
汤加,人口密度 (每平方公里土地面积的人数),1987,131.10972222200002
汤加,服务业等增加值（占GDP的百分比）,1987,48.2836155
特立尼达和多巴哥,农业增加值（占GDP的百分比）,1987,2.9799847963499997
特立尼达和多巴哥,人均二氧化碳排放量 (公吨),1987,14.65888192
特立尼达和多巴哥,金融部门提供的国内信贷（占GDP的百分比）,1987,66.82457894
特立尼达和多巴哥,人均电力消费量 (千瓦时),1987,2912.378487
特立尼达和多巴哥,能源使用量（每人当量千克石油）,1987,4188.645322
特立尼达和多巴哥,商品和服务出口（占GDP的百分比）,1987,33.84089856
特立尼达和多巴哥,总生育率，每位女性的出生数,1987,2.827
特立尼达和多巴哥,GDP增长率（年百分比）,1987,-4.561423075
特立尼达和多巴哥,商品和服务进口（占GDP的百分比）,1987,32.335572024099996
特立尼达和多巴哥,工业，增加值（占GDP的百分比）,1987,41.2577656
特立尼达和多巴哥,通货膨胀率，GDP平减指数（年百分比）,1987,4.852281056
特立尼达和多巴哥,出生时预期寿命，总年数,1987,67.74292683
特立尼达和多巴哥,人口密度 (每平方公里土地面积的人数),1987,232.9908382
特立尼达和多巴哥,服务业等增加值（占GDP的百分比）,1987,55.762249598900006
突尼斯,农业增加值（占GDP的百分比）,1987,18.79839179
突尼斯,人均二氧化碳排放量 (公吨),1987,1.528880767
突尼斯,金融部门提供的国内信贷（占GDP的百分比）,1987,61.19536296
突尼斯,人均电力消费量 (千瓦时),1987,553.954188
突尼斯,能源使用量（每人当量千克石油）,1987,542.6451683
突尼斯,商品和服务出口（占GDP的百分比）,1987,34.826328824099996
突尼斯,总生育率，每位女性的出生数,1987,4.077
突尼斯,GDP增长率（年百分比）,1987,6.701371095
突尼斯,商品和服务进口（占GDP的百分比）,1987,35.815713165700004
突尼斯,工业，增加值（占GDP的百分比）,1987,33.64446149
突尼斯,通货膨胀率，GDP平减指数（年百分比）,1987,5.1707114803400005
突尼斯,出生时预期寿命，总年数,1987,67.02307317
突尼斯,人口密度 (每平方公里土地面积的人数),1987,49.512397013400005
突尼斯,服务业等增加值（占GDP的百分比）,1987,47.55714671
土耳其,农业增加值（占GDP的百分比）,1987,18.47404548
土耳其,人均二氧化碳排放量 (公吨),1987,2.5387939117099996
土耳其,金融部门提供的国内信贷（占GDP的百分比）,1987,29.73775827
土耳其,人均电力消费量 (千瓦时),1987,770.1366541
土耳其,能源使用量（每人当量千克石油）,1987,917.9761371
土耳其,商品和服务出口（占GDP的百分比）,1987,15.58084042
土耳其,总生育率，每位女性的出生数,1987,3.426
土耳其,GDP增长率（年百分比）,1987,9.485538841
土耳其,商品和服务进口（占GDP的百分比）,1987,17.7574446
土耳其,工业，增加值（占GDP的百分比）,1987,32.54877529
土耳其,通货膨胀率，GDP平减指数（年百分比）,1987,33.61222903
土耳其,出生时预期寿命，总年数,1987,62.7875122
土耳其,人口密度 (每平方公里土地面积的人数),1987,66.48498759
土耳其,服务业等增加值（占GDP的百分比）,1987,48.977179226400004
土库曼斯坦,农业增加值（占GDP的百分比）,1987,28
土库曼斯坦,人均二氧化碳排放量 (公吨),1987,
土库曼斯坦,金融部门提供的国内信贷（占GDP的百分比）,1987,
土库曼斯坦,人均电力消费量 (千瓦时),1987,
土库曼斯坦,能源使用量（每人当量千克石油）,1987,
土库曼斯坦,商品和服务出口（占GDP的百分比）,1987,
土库曼斯坦,总生育率，每位女性的出生数,1987,4.572
土库曼斯坦,GDP增长率（年百分比）,1987,
土库曼斯坦,商品和服务进口（占GDP的百分比）,1987,
土库曼斯坦,工业，增加值（占GDP的百分比）,1987,40
土库曼斯坦,通货膨胀率，GDP平减指数（年百分比）,1987,
土库曼斯坦,出生时预期寿命，总年数,1987,62.57443902439999
土库曼斯坦,人口密度 (每平方公里土地面积的人数),1987,7.219847636880001
土库曼斯坦,服务业等增加值（占GDP的百分比）,1987,36
特克斯和凯科斯群岛,农业增加值（占GDP的百分比）,1987,
特克斯和凯科斯群岛,人均二氧化碳排放量 (公吨),1987,
特克斯和凯科斯群岛,金融部门提供的国内信贷（占GDP的百分比）,1987,
特克斯和凯科斯群岛,人均电力消费量 (千瓦时),1987,
特克斯和凯科斯群岛,能源使用量（每人当量千克石油）,1987,
特克斯和凯科斯群岛,商品和服务出口（占GDP的百分比）,1987,
特克斯和凯科斯群岛,总生育率，每位女性的出生数,1987,
特克斯和凯科斯群岛,GDP增长率（年百分比）,1987,
特克斯和凯科斯群岛,商品和服务进口（占GDP的百分比）,1987,
特克斯和凯科斯群岛,工业，增加值（占GDP的百分比）,1987,
特克斯和凯科斯群岛,通货膨胀率，GDP平减指数（年百分比）,1987,
特克斯和凯科斯群岛,出生时预期寿命，总年数,1987,
特克斯和凯科斯群岛,人口密度 (每平方公里土地面积的人数),1987,10.762105263199999
特克斯和凯科斯群岛,服务业等增加值（占GDP的百分比）,1987,
图瓦卢,农业增加值（占GDP的百分比）,1987,
图瓦卢,人均二氧化碳排放量 (公吨),1987,
图瓦卢,金融部门提供的国内信贷（占GDP的百分比）,1987,
图瓦卢,人均电力消费量 (千瓦时),1987,
图瓦卢,能源使用量（每人当量千克石油）,1987,
图瓦卢,商品和服务出口（占GDP的百分比）,1987,
图瓦卢,总生育率，每位女性的出生数,1987,
图瓦卢,GDP增长率（年百分比）,1987,
图瓦卢,商品和服务进口（占GDP的百分比）,1987,
图瓦卢,工业，增加值（占GDP的百分比）,1987,
图瓦卢,通货膨胀率，GDP平减指数（年百分比）,1987,
图瓦卢,出生时预期寿命，总年数,1987,
图瓦卢,人口密度 (每平方公里土地面积的人数),1987,294.0333333
图瓦卢,服务业等增加值（占GDP的百分比）,1987,
乌干达,农业增加值（占GDP的百分比）,1987,56.754797476899995
乌干达,人均二氧化碳排放量 (公吨),1987,0.0491483492953
乌干达,金融部门提供的国内信贷（占GDP的百分比）,1987,
乌干达,人均电力消费量 (千瓦时),1987,
乌干达,能源使用量（每人当量千克石油）,1987,
乌干达,商品和服务出口（占GDP的百分比）,1987,8.247098751
乌干达,总生育率，每位女性的出生数,1987,7.102
乌干达,GDP增长率（年百分比）,1987,3.9619027865199996
乌干达,商品和服务进口（占GDP的百分比）,1987,18.04329189
乌干达,工业，增加值（占GDP的百分比）,1987,10.07574306
乌干达,通货膨胀率，GDP平减指数（年百分比）,1987,180.9880117
乌干达,出生时预期寿命，总年数,1987,46.646780487799994
乌干达,人口密度 (每平方公里土地面积的人数),1987,78.41588509
乌干达,服务业等增加值（占GDP的百分比）,1987,33.169459466199996
乌克兰,农业增加值（占GDP的百分比）,1987,21.66921899
乌克兰,人均二氧化碳排放量 (公吨),1987,
乌克兰,金融部门提供的国内信贷（占GDP的百分比）,1987,
乌克兰,人均电力消费量 (千瓦时),1987,
乌克兰,能源使用量（每人当量千克石油）,1987,
乌克兰,商品和服务出口（占GDP的百分比）,1987,
乌克兰,总生育率，每位女性的出生数,1987,2.05
乌克兰,GDP增长率（年百分比）,1987,
乌克兰,商品和服务进口（占GDP的百分比）,1987,
乌克兰,工业，增加值（占GDP的百分比）,1987,47.09035222
乌克兰,通货膨胀率，GDP平减指数（年百分比）,1987,
乌克兰,出生时预期寿命，总年数,1987,70.49512195
乌克兰,人口密度 (每平方公里土地面积的人数),1987,88.53542763440001
乌克兰,服务业等增加值（占GDP的百分比）,1987,31.24042879
阿拉伯联合酋长国,农业增加值（占GDP的百分比）,1987,
阿拉伯联合酋长国,人均二氧化碳排放量 (公吨),1987,31.39781737
阿拉伯联合酋长国,金融部门提供的国内信贷（占GDP的百分比）,1987,28.75300335
阿拉伯联合酋长国,人均电力消费量 (千瓦时),1987,8361.471529
阿拉伯联合酋长国,能源使用量（每人当量千克石油）,1987,11389.132654500001
阿拉伯联合酋长国,商品和服务出口（占GDP的百分比）,1987,
阿拉伯联合酋长国,总生育率，每位女性的出生数,1987,4.86
阿拉伯联合酋长国,GDP增长率（年百分比）,1987,3.3819817143599997
阿拉伯联合酋长国,商品和服务进口（占GDP的百分比）,1987,
阿拉伯联合酋长国,工业，增加值（占GDP的百分比）,1987,
阿拉伯联合酋长国,通货膨胀率，GDP平减指数（年百分比）,1987,3.685584797
阿拉伯联合酋长国,出生时预期寿命，总年数,1987,70.77812195119999
阿拉伯联合酋长国,人口密度 (每平方公里土地面积的人数),1987,18.1697488
阿拉伯联合酋长国,服务业等增加值（占GDP的百分比）,1987,
英国,农业增加值（占GDP的百分比）,1987,
英国,人均二氧化碳排放量 (公吨),1987,10.06774667
英国,金融部门提供的国内信贷（占GDP的百分比）,1987,86.67924073120001
英国,人均电力消费量 (千瓦时),1987,5082.439806
英国,能源使用量（每人当量千克石油）,1987,3619.077269
英国,商品和服务出口（占GDP的百分比）,1987,23.818400579000002
英国,总生育率，每位女性的出生数,1987,1.81
英国,GDP增长率（年百分比）,1987,5.359484659
英国,商品和服务进口（占GDP的百分比）,1987,24.71144224
英国,工业，增加值（占GDP的百分比）,1987,
英国,通货膨胀率，GDP平减指数（年百分比）,1987,5.473828309
英国,出生时预期寿命，总年数,1987,75.28048780489999
英国,人口密度 (每平方公里土地面积的人数),1987,234.7871285
英国,服务业等增加值（占GDP的百分比）,1987,
美国,农业增加值（占GDP的百分比）,1987,
美国,人均二氧化碳排放量 (公吨),1987,19.35033442
美国,金融部门提供的国内信贷（占GDP的百分比）,1987,145.154256
美国,人均电力消费量 (千瓦时),1987,10886.85826
美国,能源使用量（每人当量千克石油）,1987,7622.173017
美国,商品和服务出口（占GDP的百分比）,1987,7.472849772
美国,总生育率，每位女性的出生数,1987,1.8719999999999999
美国,GDP增长率（年百分比）,1987,3.461747692
美国,商品和服务进口（占GDP的百分比）,1987,10.44540726
美国,工业，增加值（占GDP的百分比）,1987,
美国,通货膨胀率，GDP平减指数（年百分比）,1987,2.551295486
美国,出生时预期寿命，总年数,1987,74.76585366
美国,人口密度 (每平方公里土地面积的人数),1987,26.45376768
美国,服务业等增加值（占GDP的百分比）,1987,
乌拉圭,农业增加值（占GDP的百分比）,1987,13.71186351
乌拉圭,人均二氧化碳排放量 (公吨),1987,1.1674430697799998
乌拉圭,金融部门提供的国内信贷（占GDP的百分比）,1987,49.28818705
乌拉圭,人均电力消费量 (千瓦时),1987,1159.358707
乌拉圭,能源使用量（每人当量千克石油）,1987,718.4486233
乌拉圭,商品和服务出口（占GDP的百分比）,1987,21.648695300500002
乌拉圭,总生育率，每位女性的出生数,1987,2.524
乌拉圭,GDP增长率（年百分比）,1987,7.993137204560001
乌拉圭,商品和服务进口（占GDP的百分比）,1987,19.20594969
乌拉圭,工业，增加值（占GDP的百分比）,1987,35.83283379
乌拉圭,通货膨胀率，GDP平减指数（年百分比）,1987,72.78399122
乌拉圭,出生时预期寿命，总年数,1987,71.99756097560001
乌拉圭,人口密度 (每平方公里土地面积的人数),1987,17.426362701400002
乌拉圭,服务业等增加值（占GDP的百分比）,1987,50.4553027
乌兹别克斯坦,农业增加值（占GDP的百分比）,1987,27.61125888
乌兹别克斯坦,人均二氧化碳排放量 (公吨),1987,
乌兹别克斯坦,金融部门提供的国内信贷（占GDP的百分比）,1987,
乌兹别克斯坦,人均电力消费量 (千瓦时),1987,
乌兹别克斯坦,能源使用量（每人当量千克石油）,1987,
乌兹别克斯坦,商品和服务出口（占GDP的百分比）,1987,
乌兹别克斯坦,总生育率，每位女性的出生数,1987,4.5
乌兹别克斯坦,GDP增长率（年百分比）,1987,
乌兹别克斯坦,商品和服务进口（占GDP的百分比）,1987,
乌兹别克斯坦,工业，增加值（占GDP的百分比）,1987,38.25876375
乌兹别克斯坦,通货膨胀率，GDP平减指数（年百分比）,1987,
乌兹别克斯坦,出生时预期寿命，总年数,1987,67.0025122
乌兹别克斯坦,人口密度 (每平方公里土地面积的人数),1987,44.925510108100006
乌兹别克斯坦,服务业等增加值（占GDP的百分比）,1987,34.129977371100004
瓦努阿图,农业增加值（占GDP的百分比）,1987,20.36598942
瓦努阿图,人均二氧化碳排放量 (公吨),1987,0.350189893
瓦努阿图,金融部门提供的国内信贷（占GDP的百分比）,1987,19.57431116
瓦努阿图,人均电力消费量 (千瓦时),1987,
瓦努阿图,能源使用量（每人当量千克石油）,1987,
瓦努阿图,商品和服务出口（占GDP的百分比）,1987,35.77790148
瓦努阿图,总生育率，每位女性的出生数,1987,5.078
瓦努阿图,GDP增长率（年百分比）,1987,-2.893997295
瓦努阿图,商品和服务进口（占GDP的百分比）,1987,64.24993042
瓦努阿图,工业，增加值（占GDP的百分比）,1987,13.345393821300002
瓦努阿图,通货膨胀率，GDP平减指数（年百分比）,1987,16.455432261400002
瓦努阿图,出生时预期寿命，总年数,1987,61.91463415
瓦努阿图,人口密度 (每平方公里土地面积的人数),1987,11.16726825
瓦努阿图,服务业等增加值（占GDP的百分比）,1987,66.28861675479999
委内瑞拉,农业增加值（占GDP的百分比）,1987,6.582899743
委内瑞拉,人均二氧化碳排放量 (公吨),1987,6.019272050580001
委内瑞拉,金融部门提供的国内信贷（占GDP的百分比）,1987,51.50519023
委内瑞拉,人均电力消费量 (千瓦时),1987,2422.748518
委内瑞拉,能源使用量（每人当量千克石油）,1987,2063.816617
委内瑞拉,商品和服务出口（占GDP的百分比）,1987,21.43826855
委内瑞拉,总生育率，每位女性的出生数,1987,3.665
委内瑞拉,GDP增长率（年百分比）,1987,3.5816499384800005
委内瑞拉,商品和服务进口（占GDP的百分比）,1987,23.37280698
委内瑞拉,工业，增加值（占GDP的百分比）,1987,50.28118222609999
委内瑞拉,通货膨胀率，GDP平减指数（年百分比）,1987,33.28644996
委内瑞拉,出生时预期寿命，总年数,1987,69.43821951
委内瑞拉,人口密度 (每平方公里土地面积的人数),1987,20.903278725699998
委内瑞拉,服务业等增加值（占GDP的百分比）,1987,43.13591803
越南,农业增加值（占GDP的百分比）,1987,40.55749078
越南,人均二氧化碳排放量 (公吨),1987,0.420561846
越南,金融部门提供的国内信贷（占GDP的百分比）,1987,
越南,人均电力消费量 (千瓦时),1987,80.14574899
越南,能源使用量（每人当量千克石油）,1987,286.6572146
越南,商品和服务出口（占GDP的百分比）,1987,6.001428456259999
越南,总生育率，每位女性的出生数,1987,3.929
越南,GDP增长率（年百分比）,1987,3.583469633
越南,商品和服务进口（占GDP的百分比）,1987,14.79717841
越南,工业，增加值（占GDP的百分比）,1987,28.362369052800002
越南,通货膨胀率，GDP平减指数（年百分比）,1987,362.55629698300004
越南,出生时预期寿命，总年数,1987,69.50958536590001
越南,人口密度 (每平方公里土地面积的人数),1987,189.71396970700002
越南,服务业等增加值（占GDP的百分比）,1987,31.08014016
美属维尔京群岛,农业增加值（占GDP的百分比）,1987,
美属维尔京群岛,人均二氧化碳排放量 (公吨),1987,
美属维尔京群岛,金融部门提供的国内信贷（占GDP的百分比）,1987,
美属维尔京群岛,人均电力消费量 (千瓦时),1987,
美属维尔京群岛,能源使用量（每人当量千克石油）,1987,
美属维尔京群岛,商品和服务出口（占GDP的百分比）,1987,
美属维尔京群岛,总生育率，每位女性的出生数,1987,2.997
美属维尔京群岛,GDP增长率（年百分比）,1987,7.427755453
美属维尔京群岛,商品和服务进口（占GDP的百分比）,1987,
美属维尔京群岛,工业，增加值（占GDP的百分比）,1987,
美属维尔京群岛,通货膨胀率，GDP平减指数（年百分比）,1987,3.171014483
美属维尔京群岛,出生时预期寿命，总年数,1987,73.77595122
美属维尔京群岛,人口密度 (每平方公里土地面积的人数),1987,302.8571429
美属维尔京群岛,服务业等增加值（占GDP的百分比）,1987,
西岸和加沙,农业增加值（占GDP的百分比）,1987,
西岸和加沙,人均二氧化碳排放量 (公吨),1987,
西岸和加沙,金融部门提供的国内信贷（占GDP的百分比）,1987,
西岸和加沙,人均电力消费量 (千瓦时),1987,
西岸和加沙,能源使用量（每人当量千克石油）,1987,
西岸和加沙,商品和服务出口（占GDP的百分比）,1987,
西岸和加沙,总生育率，每位女性的出生数,1987,
西岸和加沙,GDP增长率（年百分比）,1987,
西岸和加沙,商品和服务进口（占GDP的百分比）,1987,
西岸和加沙,工业，增加值（占GDP的百分比）,1987,
西岸和加沙,通货膨胀率，GDP平减指数（年百分比）,1987,
西岸和加沙,出生时预期寿命，总年数,1987,
西岸和加沙,人口密度 (每平方公里土地面积的人数),1987,
西岸和加沙,服务业等增加值（占GDP的百分比）,1987,
也门共和国,农业增加值（占GDP的百分比）,1987,
也门共和国,人均二氧化碳排放量 (公吨),1987,0.8236540489390001
也门共和国,金融部门提供的国内信贷（占GDP的百分比）,1987,
也门共和国,人均电力消费量 (千瓦时),1987,98.74223637979999
也门共和国,能源使用量（每人当量千克石油）,1987,211.6203582
也门共和国,商品和服务出口（占GDP的百分比）,1987,
也门共和国,总生育率，每位女性的出生数,1987,8.838
也门共和国,GDP增长率（年百分比）,1987,
也门共和国,商品和服务进口（占GDP的百分比）,1987,
也门共和国,工业，增加值（占GDP的百分比）,1987,
也门共和国,通货膨胀率，GDP平减指数（年百分比）,1987,
也门共和国,出生时预期寿命，总年数,1987,56.35673170729999
也门共和国,人口密度 (每平方公里土地面积的人数),1987,19.9681819
也门共和国,服务业等增加值（占GDP的百分比）,1987,
赞比亚,农业增加值（占GDP的百分比）,1987,12.04912057
赞比亚,人均二氧化碳排放量 (公吨),1987,0.36182639
赞比亚,金融部门提供的国内信贷（占GDP的百分比）,1987,32.68062752
赞比亚,人均电力消费量 (千瓦时),1987,872.5082906360001
赞比亚,能源使用量（每人当量千克石油）,1987,700.1408438
赞比亚,商品和服务出口（占GDP的百分比）,1987,
赞比亚,总生育率，每位女性的出生数,1987,6.7010000000000005
赞比亚,GDP增长率（年百分比）,1987,2.67566173
赞比亚,商品和服务进口（占GDP的百分比）,1987,
赞比亚,工业，增加值（占GDP的百分比）,1987,45.52842607
赞比亚,通货膨胀率，GDP平减指数（年百分比）,1987,62.01289824
赞比亚,出生时预期寿命，总年数,1987,46.936365853699996
赞比亚,人口密度 (每平方公里土地面积的人数),1987,10.04757933
赞比亚,服务业等增加值（占GDP的百分比）,1987,42.42245336
津巴布韦,农业增加值（占GDP的百分比）,1987,14.40752832
津巴布韦,人均二氧化碳排放量 (公吨),1987,1.5982173016499999
津巴布韦,金融部门提供的国内信贷（占GDP的百分比）,1987,74.1616074
津巴布韦,人均电力消费量 (千瓦时),1987,878.0726907439999
津巴布韦,能源使用量（每人当量千克石油）,1987,896.6736115
津巴布韦,商品和服务出口（占GDP的百分比）,1987,24.01571046
津巴布韦,总生育率，每位女性的出生数,1987,5.784
津巴布韦,GDP增长率（年百分比）,1987,1.150737205
津巴布韦,商品和服务进口（占GDP的百分比）,1987,21.274885591500002
津巴布韦,工业，增加值（占GDP的百分比）,1987,32.45124209
津巴布韦,通货膨胀率，GDP平减指数（年百分比）,1987,7.189361312
津巴布韦,出生时预期寿命，总年数,1987,61.753804878000004
津巴布韦,人口密度 (每平方公里土地面积的人数),1987,24.64949464
津巴布韦,服务业等增加值（占GDP的百分比）,1987,53.1412361
阿拉伯世界,农业增加值（占GDP的百分比）,1992,
阿拉伯世界,人均二氧化碳排放量 (公吨),1992,3.454857755
阿拉伯世界,金融部门提供的国内信贷（占GDP的百分比）,1992,46.32695672
